MES,T. MEDIA,T. MÁX,T. MÍN,V. MEDIA VIENTO,RACHAS MÁX,PRESIÓN MEDIA,LLUVIA
1,22 °C,38 °C,5 °C,13.6 km/h,-- km/h,1013 hPa,97 mm
2,20 °C,35 °C,5 °C,12.1 km/h,-- km/h,1011 hPa,151 mm
3,17 °C,31 °C,1 °C,12 km/h,-- km/h,1014.8 hPa,144 mm
4,13 °C,27 °C,-4 °C,9.4 km/h,-- km/h,1016.2 hPa,40 mm
5,11 °C,25 °C,-3 °C,11.7 km/h,-- km/h,1017.5 hPa,91 mm
6,7 °C,20 °C,-7 °C,11.7 km/h,68.3 km/h,1016.3 hPa,6.1 mm
7,4 °C,18 °C,-11 °C,12.9 km/h,57.2 km/h,1019.2 hPa,0.8 mm
8,9 °C,20 °C,-3 °C,13.6 km/h,74.1 km/h,1019.8 hPa,330 mm
9,11 °C,24 °C,-4 °C,14 km/h,-- km/h,1019.3 hPa,42 mm
10,14 °C,26 °C,1 °C,15.2 km/h,-- km/h,1013.7 hPa,78 mm
11,18 °C,32 °C,2 °C,12.9 km/h,-- km/h,1014.2 hPa,110 mm
12,19 °C,35 °C,4 °C,15.7 km/h,79.5 km/h,1007.3 hPa,165 mm
